Jurisdiction,Category,Ref ID,Title,Description,Mandatory,Status,KB Match,Confidence
EU,regulations,EU-REG-001,MDR 2017/745,Medical Device Regulation,Yes,MISSING,,
EU,regulations,EU-REG-002,IVDR 2017/746,In Vitro Diagnostic Regulation,Yes,MISSING,,
EU,regulations,EU-REG-003,MDD 93/42/EEC,Medical Device Directive (legacy),No,MISSING,,
EU,regulations,EU-REG-004,AIMDD 90/385/EEC,Active Implantable Medical Device Directive (legacy),No,MISSING,,
EU,regulations,EU-REG-005,Common Specifications,EU Common Specifications for Annex XVI devices,Yes,MISSING,,
EU,mdcg_guidance,EU-MDCG-001,MDCG 2019-11,Guidance on qualification and classification of software,Yes,Found,mdcg 2019 11 en,100%
EU,mdcg_guidance,EU-MDCG-002,MDCG 2021-24,Guidance on classification of medical devices,Yes,Found,mdcg 2021 24 en,100%
EU,mdcg_guidance,EU-MDCG-003,MDCG 2022-5,Guidance on borderline products,Yes,MISSING,,
EU,mdcg_guidance,EU-MDCG-010,MDCG 2020-1,Clinical evaluation of medical device software,Yes,Found,md mdcg 2020 1 guidance clinic eva md software en,100%
EU,mdcg_guidance,EU-MDCG-011,MDCG 2020-5,Clinical evaluation - equivalence,Yes,Found,md mdcg 2020 5 guidance clinical evaluation equivalence en,100%
EU,mdcg_guidance,EU-MDCG-012,MDCG 2020-6,Sufficient clinical evidence for legacy devices,Yes,Found,md mdcg 2020 6 guidance sufficient clinical evidence en,100%
EU,mdcg_guidance,EU-MDCG-013,MDCG 2020-13,Clinical evaluation assessment report template,Yes,MISSING,,
EU,mdcg_guidance,EU-MDCG-014,MDCG 2024-5,Clinical evaluation guidance update,Yes,Found,mdcg 2024 5 en,100%
EU,mdcg_guidance,EU-MDCG-020,MDCG 2020-7,PMS plan template,Yes,MISSING,,
EU,mdcg_guidance,EU-MDCG-021,MDCG 2020-8,PMCF plan and report templates,Yes,MISSING,,
